"","Date_of_infection","Infection_prevalence","sd_Infection_prevalence"
"38",2020-12-24,4.238e-06,1.24654395999922e-05
"37",2020-12-23,1.43675e-06,1.43907659995093e-06
"36",2020-12-22,1.51545e-06,1.6240410441728e-06
"35",2020-12-21,1.70875e-06,2.03908255621312e-06
"34",2020-12-20,1.92915e-06,2.45657616409506e-06
"33",2020-12-19,2.16e-06,2.87794493564967e-06
"32",2020-12-18,2.5926e-06,3.70393324937012e-06
"31",2020-12-17,3.0391e-06,4.57350223858213e-06
"30",2020-12-16,3.69605e-06,6.0455025691135e-06
"29",2020-12-15,4.4701e-06,7.57957050512133e-06
"28",2020-12-14,5.2066e-06,8.76274578692751e-06
"27",2020-12-13,5.84255e-06,9.82068149888956e-06
"26",2020-12-12,6.56115e-06,1.09972489013102e-05
"25",2020-12-11,6.985e-06,1.17604267063653e-05
"24",2020-12-10,7.4024e-06,1.25887549210856e-05
"23",2020-12-09,8.05795e-06,1.38950467527291e-05
"22",2020-12-08,9.0503e-06,1.5915763163077e-05
"21",2020-12-07,1.035415e-05,1.8628765451298e-05
"20",2020-12-06,1.20914e-05,2.1550165236636e-05
"19",2020-12-05,1.504225e-05,2.73692821106071e-05
"18",2020-12-04,1.880805e-05,3.49412831739115e-05
"17",2020-12-03,2.29751e-05,4.26155191202009e-05
"16",2020-12-02,2.70442e-05,4.93415793184825e-05
"15",2020-12-01,3.220165e-05,5.79188201548876e-05
"14",2020-11-30,3.71334e-05,6.6666321285386e-05
"13",2020-11-29,4.12598e-05,7.42370926612835e-05
"12",2020-11-28,4.44239e-05,7.96021262489759e-05
"11",2020-11-27,4.70973e-05,8.35572153872643e-05
"10",2020-11-26,4.879e-05,8.6237808700556e-05
"9",2020-11-25,5.02313e-05,8.87473130772508e-05
"8",2020-11-24,5.03736e-05,8.90109360237919e-05
"7",2020-11-23,5.080885e-05,8.97840627413615e-05
"6",2020-11-22,5.172745e-05,9.13694629970309e-05
"5",2020-11-21,5.12027e-05,9.06489988269386e-05
"4",2020-11-20,5.05735e-05,8.96313608160494e-05
"3",2020-11-19,5.04676e-05,8.95945396253236e-05
"2",2020-11-18,5.015345e-05,8.90380913131092e-05
"1",2020-11-17,4.99869e-05,8.8574727801712e-05
