ENE_COVID,COVID_US_CDC,COVID_Verity,COVID_Levin,Flu_US_CDC,location
0.096,0.128,0.184,0.175,0.018,Afghanistan
0.127,0.165,0.236,0.239,0.022,Africa
0.548,0.659,0.857,1.079,0.071,Albania
0.26,0.305,0.426,0.512,0.037,Algeria
0.085,0.111,0.164,0.155,0.016,Angola
0.394,0.497,0.648,0.822,0.052,Antigua and Barbuda
0.454,0.515,0.671,0.917,0.056,Argentina
0.497,0.522,0.748,0.915,0.059,Armenia
0.531,0.652,0.874,1.049,0.072,Aruba
0.325,0.394,0.541,0.64,0.047,Asia
0.671,0.736,0.944,1.374,0.076,Australia
0.836,0.91,1.149,1.709,0.09,Austria
0.273,0.313,0.474,0.515,0.039,Azerbaijan
0.269,0.358,0.495,0.517,0.042,Bahamas
0.125,0.15,0.253,0.224,0.021,Bahrain
0.221,0.269,0.368,0.428,0.031,Bangladesh
0.719,0.756,0.998,1.48,0.079,Barbados
0.624,0.657,0.921,1.252,0.075,Belarus
0.846,0.881,1.137,1.74,0.089,Belgium
0.208,0.235,0.334,0.406,0.029,Belize
0.121,0.157,0.222,0.229,0.021,Benin
0.251,0.297,0.403,0.486,0.035,Bhutan
0.31,0.35,0.463,0.622,0.039,Bolivia
0.659,0.757,1.011,1.243,0.085,Bosnia and Herzegovina
0.155,0.203,0.289,0.296,0.027,Botswana
0.376,0.437,0.594,0.743,0.05,Brazil
0.197,0.249,0.381,0.373,0.032,Brunei
0.801,0.949,1.181,1.592,0.098,Bulgaria
0.088,0.118,0.173,0.16,0.017,Burkina Faso
0.088,0.109,0.169,0.161,0.017,Burundi
0.221,0.232,0.349,0.432,0.029,Cabo Verde
0.168,0.221,0.314,0.325,0.029,Cambodia
0.098,0.13,0.189,0.178,0.018,Cameroon
0.734,0.81,1.047,1.505,0.085,Canada
0.101,0.133,0.191,0.186,0.019,Central African Republic
0.091,0.116,0.17,0.168,0.017,Chad
0.739,0.828,1.059,1.538,0.084,Channel Islands
0.493,0.55,0.736,1.001,0.061,Chile
0.409,0.507,0.695,0.806,0.061,China
0.449,0.514,0.738,0.887,0.062,Macao
0.628,0.686,0.938,1.28,0.077,Taiwan 
0.355,0.412,0.56,0.707,0.047,Colombia
0.113,0.149,0.22,0.217,0.021,Comoros
0.101,0.137,0.201,0.185,0.019,Congo
0.413,0.475,0.638,0.823,0.053,Costa Rica
0.865,0.932,1.209,1.733,0.098,Croatia
0.644,0.735,0.941,1.314,0.077,Cuba
0.713,0.808,1.038,1.403,0.084,Curacao
0.1,0.135,0.197,0.184,0.019,Cote d'Ivoire
0.561,0.649,0.839,1.106,0.069,Cyprus
0.738,0.878,1.092,1.51,0.092,Czechia
0.377,0.487,0.635,0.706,0.05,Dem. People's Republic of Korea
0.11,0.144,0.203,0.205,0.019,Democratic Republic of Congo
0.797,0.935,1.136,1.593,0.093,Denmark
0.17,0.225,0.317,0.324,0.028,Djibouti
0.309,0.348,0.48,0.616,0.04,Dominican Republic
0.303,0.347,0.474,0.607,0.04,Ecuador
0.192,0.247,0.343,0.363,0.031,Egypt
0.347,0.399,0.528,0.687,0.045,El Salvador
0.092,0.118,0.179,0.167,0.018,Equatorial Guinea
0.158,0.204,0.273,0.303,0.026,Eritrea
0.868,0.892,1.171,1.773,0.093,Estonia
0.145,0.187,0.254,0.271,0.024,Eswatini
0.13,0.167,0.231,0.244,0.022,Ethiopia
0.81,0.861,1.117,1.633,0.089,Europe
0.192,0.262,0.376,0.354,0.033,Fiji
0.899,1.008,1.248,1.819,0.102,Finland
0.914,0.941,1.201,1.899,0.095,France
0.188,0.245,0.353,0.392,0.031,French Guiana
0.287,0.384,0.527,0.579,0.046,French Polynesia
0.133,0.173,0.245,0.248,0.023,Gabon
0.091,0.126,0.177,0.162,0.017,Gambia
0.607,0.67,0.896,1.155,0.073,Georgia
0.993,1.012,1.305,1.997,0.1,Germany
0.116,0.157,0.23,0.212,0.021,Ghana
1.041,1.043,1.339,2.135,0.102,Greece
0.354,0.438,0.595,0.74,0.05,Grenada
0.798,0.864,1.113,1.637,0.09,Guadeloupe
0.365,0.464,0.611,0.703,0.052,Guam
0.204,0.233,0.323,0.403,0.029,Guatemala
0.1,0.134,0.194,0.185,0.019,Guinea
0.097,0.13,0.192,0.178,0.019,Guinea-Bissau
0.282,0.326,0.456,0.521,0.038,Guyana
0.194,0.237,0.331,0.376,0.03,Haiti
0.206,0.235,0.331,0.407,0.029,Honduras
0.791,0.811,1.102,1.607,0.087,Hong Kong
0.753,0.854,1.101,1.534,0.093,Hungary
0.605,0.683,0.888,1.236,0.073,Iceland
0.234,0.293,0.414,0.452,0.037,India
0.229,0.293,0.416,0.437,0.036,Indonesia
0.246,0.301,0.431,0.476,0.037,Iran
0.125,0.157,0.229,0.24,0.022,Iraq
0.563,0.653,0.838,1.126,0.07,Ireland
0.499,0.545,0.71,1.021,0.06,Israel
1.065,1.092,1.382,2.177,0.106,Italy
0.364,0.425,0.569,0.725,0.047,Jamaica
