areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-06-23,17197,4698723
overview,United Kingdom,K02000001,2021-06-22,16919,4681526
overview,United Kingdom,K02000001,2021-06-21,15951,4664607
overview,United Kingdom,K02000001,2021-06-20,9866,4648656
overview,United Kingdom,K02000001,2021-06-19,8247,4638790
overview,United Kingdom,K02000001,2021-06-18,10043,4630543
overview,United Kingdom,K02000001,2021-06-17,10763,4620500
overview,United Kingdom,K02000001,2021-06-16,10778,4609737
overview,United Kingdom,K02000001,2021-06-15,10503,4598959
overview,United Kingdom,K02000001,2021-06-14,10108,4588456
overview,United Kingdom,K02000001,2021-06-13,6947,4578348
overview,United Kingdom,K02000001,2021-06-12,6111,4571401
overview,United Kingdom,K02000001,2021-06-11,7445,4565290
overview,United Kingdom,K02000001,2021-06-10,7839,4557845
overview,United Kingdom,K02000001,2021-06-09,7985,4550006
overview,United Kingdom,K02000001,2021-06-08,7667,4542021
overview,United Kingdom,K02000001,2021-06-07,7718,4534354
overview,United Kingdom,K02000001,2021-06-06,5402,4526636
overview,United Kingdom,K02000001,2021-06-05,4619,4521234
overview,United Kingdom,K02000001,2021-06-04,5712,4516615
overview,United Kingdom,K02000001,2021-06-03,6093,4510903
overview,United Kingdom,K02000001,2021-06-02,6052,4504810
overview,United Kingdom,K02000001,2021-06-01,5242,4498758
overview,United Kingdom,K02000001,2021-05-31,3802,4493516
overview,United Kingdom,K02000001,2021-05-30,3098,4489714
overview,United Kingdom,K02000001,2021-05-29,2932,4486616
overview,United Kingdom,K02000001,2021-05-28,3489,4483684
overview,United Kingdom,K02000001,2021-05-27,3633,4480195
overview,United Kingdom,K02000001,2021-05-26,3799,4476562
overview,United Kingdom,K02000001,2021-05-25,3294,4472763
overview,United Kingdom,K02000001,2021-05-24,3229,4469469
overview,United Kingdom,K02000001,2021-05-23,2238,4466240
overview,United Kingdom,K02000001,2021-05-22,1931,4464002
overview,United Kingdom,K02000001,2021-05-21,2289,4462071
overview,United Kingdom,K02000001,2021-05-20,2427,4459782
overview,United Kingdom,K02000001,2021-05-19,2710,4457355
overview,United Kingdom,K02000001,2021-05-18,2706,4454645
overview,United Kingdom,K02000001,2021-05-17,2762,4451939
overview,United Kingdom,K02000001,2021-05-16,1853,4449177
overview,United Kingdom,K02000001,2021-05-15,1580,4447324
overview,United Kingdom,K02000001,2021-05-14,1850,4445744
overview,United Kingdom,K02000001,2021-05-13,2091,4443894
overview,United Kingdom,K02000001,2021-05-12,2227,4441803
overview,United Kingdom,K02000001,2021-05-11,2200,4439576
overview,United Kingdom,K02000001,2021-05-10,2649,4437376
overview,United Kingdom,K02000001,2021-05-09,2168,4434727
overview,United Kingdom,K02000001,2021-05-08,1512,4432559
overview,United Kingdom,K02000001,2021-05-07,1863,4431047
overview,United Kingdom,K02000001,2021-05-06,2158,4429184
overview,United Kingdom,K02000001,2021-05-05,2390,4427026
overview,United Kingdom,K02000001,2021-05-04,2401,4424636
overview,United Kingdom,K02000001,2021-05-03,1974,4422235
overview,United Kingdom,K02000001,2021-05-02,1424,4420261
overview,United Kingdom,K02000001,2021-05-01,1353,4418837
overview,United Kingdom,K02000001,2021-04-30,1699,4417484
overview,United Kingdom,K02000001,2021-04-29,2084,4415785
overview,United Kingdom,K02000001,2021-04-28,2362,4413701
overview,United Kingdom,K02000001,2021-04-27,2059,4411339
overview,United Kingdom,K02000001,2021-04-26,2439,4409280
overview,United Kingdom,K02000001,2021-04-25,1992,4406841
overview,United Kingdom,K02000001,2021-04-24,1462,4404849
overview,United Kingdom,K02000001,2021-04-23,1888,4403387
overview,United Kingdom,K02000001,2021-04-22,2246,4401499
overview,United Kingdom,K02000001,2021-04-21,2537,4399253
overview,United Kingdom,K02000001,2021-04-20,2363,4396716
overview,United Kingdom,K02000001,2021-04-19,2597,4394353
overview,United Kingdom,K02000001,2021-04-18,2433,4391756
overview,United Kingdom,K02000001,2021-04-17,1638,4389323
overview,United Kingdom,K02000001,2021-04-16,2188,4387685
overview,United Kingdom,K02000001,2021-04-15,2187,4385497
overview,United Kingdom,K02000001,2021-04-14,2396,4383310
overview,United Kingdom,K02000001,2021-04-13,2331,4380914
overview,United Kingdom,K02000001,2021-04-12,2707,4378583
overview,United Kingdom,K02000001,2021-04-11,2251,4375876
overview,United Kingdom,K02000001,2021-04-10,2259,4373625
overview,United Kingdom,K02000001,2021-04-09,2781,4371366
overview,United Kingdom,K02000001,2021-04-08,2980,4368585
overview,United Kingdom,K02000001,2021-04-07,3079,4365605
overview,United Kingdom,K02000001,2021-04-06,3115,4362526
overview,United Kingdom,K02000001,2021-04-05,2614,4359411
overview,United Kingdom,K02000001,2021-04-04,2293,4356797
overview,United Kingdom,K02000001,2021-04-03,2406,4354504
overview,United Kingdom,K02000001,2021-04-02,2621,4352098
overview,United Kingdom,K02000001,2021-04-01,3470,4349477
overview,United Kingdom,K02000001,2021-03-31,3764,4346007
overview,United Kingdom,K02000001,2021-03-30,3595,4342243
overview,United Kingdom,K02000001,2021-03-29,3980,4338648
overview,United Kingdom,K02000001,2021-03-28,4650,4334668
overview,United Kingdom,K02000001,2021-03-27,3536,4330018
overview,United Kingdom,K02000001,2021-03-26,4387,4326482
overview,United Kingdom,K02000001,2021-03-25,5392,4322095
overview,United Kingdom,K02000001,2021-03-24,6004,4316703
overview,United Kingdom,K02000001,2021-03-23,5252,4310699
overview,United Kingdom,K02000001,2021-03-22,6200,4305447
overview,United Kingdom,K02000001,2021-03-21,5234,4299247
overview,United Kingdom,K02000001,2021-03-20,4098,4294013
overview,United Kingdom,K02000001,2021-03-19,4995,4289915
overview,United Kingdom,K02000001,2021-03-18,5473,4284920
overview,United Kingdom,K02000001,2021-03-17,5776,4279447
overview,United Kingdom,K02000001,2021-03-16,5673,4273671
overview,United Kingdom,K02000001,2021-03-15,6504,4267998
overview,United Kingdom,K02000001,2021-03-14,4301,4261494
overview,United Kingdom,K02000001,2021-03-13,4240,4257193
overview,United Kingdom,K02000001,2021-03-12,5586,4252953
overview,United Kingdom,K02000001,2021-03-11,5769,4247367
overview,United Kingdom,K02000001,2021-03-10,6034,4241598
overview,United Kingdom,K02000001,2021-03-09,6219,4235564
overview,United Kingdom,K02000001,2021-03-08,6640,4229345
overview,United Kingdom,K02000001,2021-03-07,4271,4222705
overview,United Kingdom,K02000001,2021-03-06,4496,4218434
overview,United Kingdom,K02000001,2021-03-05,5297,4213938
overview,United Kingdom,K02000001,2021-03-04,5718,4208641
overview,United Kingdom,K02000001,2021-03-03,5967,4202923
overview,United Kingdom,K02000001,2021-03-02,6653,4196956
overview,United Kingdom,K02000001,2021-03-01,6874,4190303
overview,United Kingdom,K02000001,2021-02-28,4710,4183429
overview,United Kingdom,K02000001,2021-02-27,4814,4178719
overview,United Kingdom,K02000001,2021-02-26,6571,4173905
overview,United Kingdom,K02000001,2021-02-25,7712,4167334
overview,United Kingdom,K02000001,2021-02-24,8534,4159622
overview,United Kingdom,K02000001,2021-02-23,9383,4151088
overview,United Kingdom,K02000001,2021-02-22,11243,4141705
overview,United Kingdom,K02000001,2021-02-21,7869,4130462
overview,United Kingdom,K02000001,2021-02-20,8050,4122593
overview,United Kingdom,K02000001,2021-02-19,10379,4114543
overview,United Kingdom,K02000001,2021-02-18,11402,4104164
overview,United Kingdom,K02000001,2021-02-17,11559,4092762
overview,United Kingdom,K02000001,2021-02-16,12478,4081203
overview,United Kingdom,K02000001,2021-02-15,14263,4068725
overview,United Kingdom,K02000001,2021-02-14,8753,4054462
overview,United Kingdom,K02000001,2021-02-13,8758,4045709
overview,United Kingdom,K02000001,2021-02-12,12153,4036951
overview,United Kingdom,K02000001,2021-02-11,12738,4024798
overview,United Kingdom,K02000001,2021-02-10,13479,4012060
overview,United Kingdom,K02000001,2021-02-09,13792,3998581
overview,United Kingdom,K02000001,2021-02-08,15695,3984789
overview,United Kingdom,K02000001,2021-02-07,11355,3969094
overview,United Kingdom,K02000001,2021-02-06,11968,3957739
overview,United Kingdom,K02000001,2021-02-05,15840,3945771
overview,United Kingdom,K02000001,2021-02-04,17949,3929931
overview,United Kingdom,K02000001,2021-02-03,19397,3911982
overview,United Kingdom,K02000001,2021-02-02,19749,3892585
overview,United Kingdom,K02000001,2021-02-01,22341,3872836
overview,United Kingdom,K02000001,2021-01-31,15370,3850495
overview,United Kingdom,K02000001,2021-01-30,16670,3835125
overview,United Kingdom,K02000001,2021-01-29,21767,3818455
overview,United Kingdom,K02000001,2021-01-28,24142,3796688
overview,United Kingdom,K02000001,2021-01-27,25667,3772546
overview,United Kingdom,K02000001,2021-01-26,26965,3746879
overview,United Kingdom,K02000001,2021-01-25,29899,3719914
overview,United Kingdom,K02000001,2021-01-24,17159,3690015
overview,United Kingdom,K02000001,2021-01-23,21822,3672856
overview,United Kingdom,K02000001,2021-01-22,29529,3651034
overview,United Kingdom,K02000001,2021-01-21,31661,3621505
overview,United Kingdom,K02000001,2021-01-20,35089,3589844
overview,United Kingdom,K02000001,2021-01-19,39468,3554755
overview,United Kingdom,K02000001,2021-01-18,44761,3515287
overview,United Kingdom,K02000001,2021-01-17,28838,3470526
overview,United Kingdom,K02000001,2021-01-16,30524,3441688
overview,United Kingdom,K02000001,2021-01-15,40402,3411164
overview,United Kingdom,K02000001,2021-01-14,42368,3370762
overview,United Kingdom,K02000001,2021-01-13,45388,3328394
overview,United Kingdom,K02000001,2021-01-12,49379,3283006
overview,United Kingdom,K02000001,2021-01-11,57092,3233627
overview,United Kingdom,K02000001,2021-01-10,36344,3176535
overview,United Kingdom,K02000001,2021-01-09,39082,3140191
overview,United Kingdom,K02000001,2021-01-08,46999,3101109
overview,United Kingdom,K02000001,2021-01-07,51927,3054110
overview,United Kingdom,K02000001,2021-01-06,57379,3002183
overview,United Kingdom,K02000001,2021-01-05,65091,2944804
overview,United Kingdom,K02000001,2021-01-04,76157,2879713
overview,United Kingdom,K02000001,2021-01-03,55180,2803556
overview,United Kingdom,K02000001,2021-01-02,60392,2748376
overview,United Kingdom,K02000001,2021-01-01,31846,2687984
overview,United Kingdom,K02000001,2020-12-31,52794,2656138
overview,United Kingdom,K02000001,2020-12-30,70795,2603344
overview,United Kingdom,K02000001,2020-12-29,81521,2532549
overview,United Kingdom,K02000001,2020-12-28,45603,2451028
overview,United Kingdom,K02000001,2020-12-27,47728,2405425
overview,United Kingdom,K02000001,2020-12-26,40372,2357697
overview,United Kingdom,K02000001,2020-12-25,14180,2317325
overview,United Kingdom,K02000001,2020-12-24,31822,2303145
overview,United Kingdom,K02000001,2020-12-23,42189,2271323
overview,United Kingdom,K02000001,2020-12-22,45659,2229134
overview,United Kingdom,K02000001,2020-12-21,47379,2183475
overview,United Kingdom,K02000001,2020-12-20,32462,2136096
overview,United Kingdom,K02000001,2020-12-19,25148,2103634
overview,United Kingdom,K02000001,2020-12-18,35831,2078486
overview,United Kingdom,K02000001,2020-12-17,33886,2042655
overview,United Kingdom,K02000001,2020-12-16,34932,2008769
overview,United Kingdom,K02000001,2020-12-15,33845,1973837
overview,United Kingdom,K02000001,2020-12-14,34725,1939992
overview,United Kingdom,K02000001,2020-12-13,21981,1905267
overview,United Kingdom,K02000001,2020-12-12,19364,1883286
overview,United Kingdom,K02000001,2020-12-11,24079,1863922
overview,United Kingdom,K02000001,2020-12-10,22618,1839843
overview,United Kingdom,K02000001,2020-12-09,21615,1817225
overview,United Kingdom,K02000001,2020-12-08,20792,1795610
overview,United Kingdom,K02000001,2020-12-07,21334,1774818
overview,United Kingdom,K02000001,2020-12-06,13582,1753484
overview,United Kingdom,K02000001,2020-12-05,12741,1739902
overview,United Kingdom,K02000001,2020-12-04,15660,1727161
overview,United Kingdom,K02000001,2020-12-03,15639,1711501
overview,United Kingdom,K02000001,2020-12-02,16469,1695862
overview,United Kingdom,K02000001,2020-12-01,16457,1679393
overview,United Kingdom,K02000001,2020-11-30,18014,1662936
overview,United Kingdom,K02000001,2020-11-29,10685,1644922
overview,United Kingdom,K02000001,2020-11-28,10968,1634237
overview,United Kingdom,K02000001,2020-11-27,14372,1623269
overview,United Kingdom,K02000001,2020-11-26,14576,1608897
overview,United Kingdom,K02000001,2020-11-25,16616,1594321
overview,United Kingdom,K02000001,2020-11-24,16449,1577705
overview,United Kingdom,K02000001,2020-11-23,18780,1561256
overview,United Kingdom,K02000001,2020-11-22,11735,1542476
overview,United Kingdom,K02000001,2020-11-21,12354,1530741
overview,United Kingdom,K02000001,2020-11-20,16851,1518387
overview,United Kingdom,K02000001,2020-11-19,17760,1501536
overview,United Kingdom,K02000001,2020-11-18,20757,1483776
overview,United Kingdom,K02000001,2020-11-17,23166,1463019
overview,United Kingdom,K02000001,2020-11-16,26577,1439853
overview,United Kingdom,K02000001,2020-11-15,16029,1413276
overview,United Kingdom,K02000001,2020-11-14,18004,1397247
overview,United Kingdom,K02000001,2020-11-13,24049,1379243
overview,United Kingdom,K02000001,2020-11-12,24466,1355194
overview,United Kingdom,K02000001,2020-11-11,27357,1330728
overview,United Kingdom,K02000001,2020-11-10,27418,1303371
overview,United Kingdom,K02000001,2020-11-09,31050,1275953
overview,United Kingdom,K02000001,2020-11-08,19956,1244903
overview,United Kingdom,K02000001,2020-11-07,18531,1224947
overview,United Kingdom,K02000001,2020-11-06,23333,1206416
overview,United Kingdom,K02000001,2020-11-05,23755,1183083
overview,United Kingdom,K02000001,2020-11-04,23681,1159328
overview,United Kingdom,K02000001,2020-11-03,25594,1135647
overview,United Kingdom,K02000001,2020-11-02,31512,1110053
overview,United Kingdom,K02000001,2020-11-01,15753,1078541
overview,United Kingdom,K02000001,2020-10-31,16486,1062788
overview,United Kingdom,K02000001,2020-10-30,22678,1046302
overview,United Kingdom,K02000001,2020-10-29,23353,1023624
